,z,t,theta_train
708,-5.0,2.472,0.3447107734456553
709,-5.0,2.484,0.3401491867181573
710,-5.0,2.496,0.3420542854929611
711,-5.0,2.508,0.33568056377454286
712,-5.0,2.52,0.33822265995510575
713,-5.0,2.532,0.33911198732224485
714,-5.0,2.544,0.3264023846102589
715,-5.0,2.556,0.33246461835153135
716,-5.0,2.568,0.3299306812591999
717,-5.0,2.58,0.3287354731974625
718,-5.0,2.592,0.32873624668208307
719,-5.0,2.6039999999999996,0.33194240270804104
720,-5.0,2.616,0.3335297508106946
721,-5.0,2.628,0.33581408493082915
722,-5.0,2.64,0.33103893634743253
723,-5.0,2.6519999999999997,0.3208924671154138
724,-5.0,2.6639999999999997,0.30871304558847545
725,-5.0,2.676,0.32961040828476745
726,-5.0,2.688,0.3269504194863888
727,-5.0,2.7,0.31030000012795855
728,-5.0,2.7119999999999997,0.3137863656217258
729,-5.0,2.7239999999999998,0.32453403967784705
730,-5.0,2.736,0.3188734892777304
731,-5.0,2.748,0.30996429707442613
732,-5.0,2.76,0.31800201930786864
733,-5.0,2.772,0.3103432732245914
734,-5.0,2.7840000000000003,0.3015502480762689
735,-5.0,2.7960000000000003,0.30686362687563595
736,-5.0,2.8080000000000003,0.3042691431269754
737,-5.0,2.82,0.30962289034901835
738,-5.0,2.832,0.3062227361284923
739,-5.0,2.844,0.29818274906317327
740,-5.0,2.8560000000000003,0.3076281094950183
741,-5.0,2.8680000000000003,0.3048043559373602
742,-5.0,2.88,0.30570950841786004
743,-5.0,2.892,0.3164322182297481
744,-5.0,2.904,0.3004336580704681
745,-5.0,2.9160000000000004,0.30118680538346826
746,-5.0,2.928,0.30184362305095297
747,-5.0,2.94,0.3074959068448546
748,-5.0,2.952,0.3059503472007776
749,-5.0,2.964,0.3011301013082422
750,-5.0,2.9760000000000004,0.300476974072428
751,-5.0,2.988,0.30488518332220993
752,-5.0,3.0,0.30659540107390937
753,-7.0,0.0,0.1275530482654172
754,-7.0,0.012,0.11935415202720719
755,-7.0,0.024,0.1234966799064544
756,-7.0,0.036000000000000004,0.12801375787987915
757,-7.0,0.048,0.12412874993698554
758,-7.0,0.06,0.12243433034958195
759,-7.0,0.07200000000000001,0.1258897282831506
760,-7.0,0.084,0.1258964053423259
761,-7.0,0.096,0.1196973400253595
762,-7.0,0.10800000000000001,0.12414548360321165
763,-7.0,0.12,0.1246273609492507
764,-7.0,0.132,0.12426085323682279
765,-7.0,0.14400000000000002,0.11710359471910381
766,-7.0,0.156,0.21071616114095357
767,-7.0,0.168,0.2627335084218805
768,-7.0,0.18,0.2952196890475668
769,-7.0,0.192,0.30397382919842525
770,-7.0,0.204,0.3180561962297821
771,-7.0,0.21600000000000003,0.33186771543959814
